metdat-2022-01-26 Sat Nov  4 21:06:05 2023
ih jhr ht winsp windir tempC
21 21 988.7 10.80 22.0 21.6
21 21 1087.5 10.40 22.0 20.7
21 21 1186.4 10.00 21.4 19.8
21 21 1285.3 9.60 21.0 18.9
21 21 1384.1 9.20 21.0 18.0
21 21 1483.0 8.80 21.0 17.2
21 21 1730.2 7.90 23.0 15.1
21 21 1977.3 7.20 26.0 13.5
21 21 2224.5 6.69 27.9 12.4
21 21 2471.7 5.70 23.0 11.1
21 21 2718.8 4.60 19.0 9.4
22 22 9.9 3.79 35.0 29.4
22 22 24.7 4.94 35.0 29.4
22 22 49.4 6.10 34.0 29.3
22 22 74.2 7.04 33.1 29.2
22 22 98.9 7.79 33.0 29.1
22 22 148.3 9.05 31.0 28.8
22 22 197.7 10.00 29.5 28.4
22 22 247.2 10.66 28.0 28.0
22 22 296.6 11.21 27.0 27.6
22 22 346.0 11.80 25.0 27.2
22 22 395.5 12.60 23.0 26.8
22 22 444.9 12.66 22.0 26.3
22 22 494.3 12.50 22.0 25.9
22 22 543.8 12.40 21.0 25.4
22 22 593.2 12.20 21.0 25.0
22 22 642.6 12.10 21.0 24.5
22 22 692.1 11.96 21.0 24.0
22 22 790.9 11.61 20.0 23.1
22 22 889.8 11.30 20.0 22.2
22 22 988.7 10.90 20.0 21.3
22 22 1087.5 10.50 19.9 20.4
22 22 1186.4 10.10 19.9 19.5
22 22 1285.3 9.70 20.0 18.6
22 22 1384.1 9.30 20.0 17.8
22 22 1483.0 9.00 21.0 17.0
22 22 1730.2 8.29 24.0 15.1
22 22 1977.3 7.70 27.0 13.6
22 22 2224.5 7.25 28.0 12.5
22 22 2471.7 6.30 24.0 11.1
22 22 2718.8 4.99 20.0 9.5
23 23 9.9 3.79 36.0 28.7
23 23 24.7 4.99 35.0 28.7
23 23 49.4 6.19 34.0 28.7
23 23 74.2 7.10 33.0 28.6
23 23 98.9 7.89 32.0 28.5
23 23 148.3 9.20 30.0 28.2
23 23 197.7 10.30 28.0 27.9
23 23 247.2 11.01 26.0 27.5
23 23 296.6 11.70 24.0 27.1
23 23 346.0 12.51 22.0 26.7
23 23 395.5 13.20 19.0 26.3
23 23 444.9 13.10 19.0 25.8
23 23 494.3 13.00 18.0 25.4
23 23 543.8 12.80 18.0 24.9
23 23 593.2 12.70 18.0 24.5
23 23 642.6 12.50 18.0 24.0
23 23 692.1 12.30 18.0 23.6
23 23 790.9 11.90 18.0 22.6
23 23 889.8 11.50 19.0 21.7
23 23 988.7 11.00 19.0 20.8
23 23 1087.5 10.50 20.0 20.0
23 23 1186.4 10.10 21.0 19.1
23 23 1285.3 9.70 22.0 18.2
23 23 1384.1 9.50 23.4 17.4
23 23 1483.0 9.30 25.0 16.7
23 23 1730.2 9.10 27.0 14.9
23 23 1977.3 8.60 28.0 13.6
23 23 2224.5 7.60 27.0 12.5
23 23 2471.7 6.69 24.0 11.0
23 23 2718.8 5.30 19.0 9.5
24 0 9.9 3.85 36.0 28.1
24 0 24.7 5.09 35.0 28.1
24 0 49.4 6.29 34.0 28.0
24 0 74.2 7.20 33.1 27.9
24 0 98.9 8.00 32.1 27.8
24 0 148.3 9.45 30.0 27.6
24 0 197.7 10.60 28.0 27.3
24 0 247.2 11.50 25.0 26.9
24 0 296.6 12.40 23.0 26.5
24 0 346.0 13.20 20.0 26.2
24 0 395.5 13.60 18.0 25.8
24 0 444.9 13.60 17.0 25.3
24 0 494.3 13.56 17.0 24.8
24 0 543.8 13.40 17.0 24.4
24 0 593.2 13.30 17.0 23.9
24 0 642.6 13.10 17.0 23.5
24 0 692.1 12.90 18.0 23.0
24 0 790.9 12.40 18.0 22.1
24 0 889.8 12.00 19.0 21.2
24 0 988.7 11.50 21.0 20.3
24 0 1087.5 11.00 22.0 19.5
24 0 1186.4 10.60 24.0 18.6
24 0 1285.3 10.30 26.0 17.8
24 0 1384.1 10.10 27.0 17.0
24 0 1483.0 10.10 28.4 16.3
24 0 1730.2 10.20 29.9 14.7
24 0 1977.3 9.69 28.0 13.4
24 0 2224.5 8.09 26.0 12.3
24 0 2471.7 6.75 24.0 10.8
24 0 2718.8 5.39 19.0 9.4
25 1 9.9 3.90 34.0 27.5
25 1 24.7 5.19 33.0 27.5
25 1 49.4 6.40 33.0 27.4
25 1 74.2 7.34 32.0 27.3
25 1 98.9 8.14 31.0 27.2
25 1 148.3 9.60 29.0 26.9
25 1 197.7 10.80 27.0 26.7
25 1 247.2 11.75 24.5 26.3
25 1 296.6 12.70 22.0 26.0
25 1 346.0 13.70 19.0 25.6
25 1 395.5 14.20 17.0 25.2
25 1 444.9 14.30 16.0 24.8
25 1 494.3 14.30 16.0 24.3
25 1 543.8 14.20 16.0 23.8
25 1 593.2 14.10 16.0 23.4
25 1 642.6 13.90 16.0 23.0
25 1 692.1 13.80 17.0 22.5
25 1 790.9 13.40 17.0 21.6
25 1 889.8 13.00 18.0 20.7
25 1 988.7 12.50 20.0 19.8
25 1 1087.5 12.09 21.0 19.0
25 1 1186.4 11.60 23.0 18.1
25 1 1285.3 11.30 25.0 17.3
25 1 1384.1 11.20 26.0 16.6
25 1 1483.0 11.20 28.0 15.9
25 1 1730.2 11.20 28.4 14.5
25 1 1977.3 10.30 26.0 13.3
25 1 2224.5 8.30 22.0 12.1
25 1 2471.7 6.60 20.0 10.7
25 1 2718.8 5.29 15.0 9.3
26 2 9.9 3.90 33.0 26.9
26 2 24.7 5.19 33.0 26.9
26 2 49.4 6.39 32.0 26.8
26 2 74.2 7.30 31.0 26.7
26 2 98.9 8.10 31.0 26.6
26 2 148.3 9.69 29.0 26.4
26 2 197.7 10.90 26.0 26.1
26 2 247.2 11.96 24.0 25.8
26 2 296.6 13.10 22.0 25.5
26 2 346.0 14.10 19.0 25.2
26 2 395.5 14.70 17.0 24.8
26 2 444.9 14.75 16.0 24.3
26 2 494.3 14.70 16.0 23.9
26 2 543.8 14.70 16.0 23.4
26 2 593.2 14.60 15.4 22.9
26 2 642.6 14.50 15.0 22.5
26 2 692.1 14.40 15.4 22.0
26 2 790.9 14.20 16.0 21.1
26 2 889.8 13.90 16.0 20.2
26 2 988.7 13.60 17.0 19.3
